"judge","srs"
"12.80","13.20"
"12.60","8.00"
"9.40","6.40"
"15.00","9.20"
"14.40","8.00"
"7.20","7.80"
"5.80","7.26"
"13.20","10.40"
"13.30","9.40"
"10.80","7.00"
"10.60","5.80"
"6.80","3.60"
"10.80","9.20"
"11.80","12.40"
"9.60","8.00"
"5.40","5.00"
"4.40","6.00"
"7.00","7.26"
"9.00","6.00"
"13.20","8.20"
"12.40","7.80"
"11.60","8.00"
"7.40","5.00"
"5.40","9.00"
"13.60","9.20"
"11.00","9.60"
"6.20","8.40"
"14.40","9.00"
"13.60","3.20"
"10.20","7.00"
"16.40","7.20"
"10.20","7.60"
"10.40","3.80"
"15.60","8.60"
"12.00","6.20"
"11.00","20.00"
"4.00","9.00"
"9.40","8.00"
"16.80","10.80"
"11.40","6.40"
"9.80","4.20"
"10.40","7.20"
"7.60","7.00"
"11.20","9.20"
"14.60","7.80"
"15.20","6.80"
"5.60","7.20"
"11.80","5.40"
"7.20","7.70"
"9.00","6.40"
"10.20","8.20"
"9.40","9.00"
"6.80","9.40"
"8.50","9.23"
"10.20","8.00"
"8.20","8.00"
"4.80","9.00"
"7.20","6.20"
"17.60","4.20"
"7.40","4.00"
"8.80","5.20"
"4.40","9.80"
"12.80","3.80"
"3.60","7.33"
"13.00","8.20"
"6.40","7.00"
"9.80","9.00"
"4.00","8.00"
"4.60","6.80"
"10.40","7.26"
"12.80","5.20"
"6.40","8.00"
"16.00","7.00"
"12.20","8.60"
"4.40","3.80"
"8.50","8.00"
"14.00","9.80"
"7.00","7.60"
"10.40","8.80"
"7.26","9.80"
"17.60","5.80"
"4.10","7.10"
"7.00","8.00"
"8.00","8.00"
"38.80","19.22"
"6.40","7.20"
"15.60","8.60"
"16.40","6.60"
"8.00","7.80"
"12.60","6.00"
"9.40","4.20"
"12.20","8.00"
"13.20","8.00"
"3.40","5.20"
"16.60","1.60"
"9.00","9.20"
"13.20","6.60"
"6.20","6.00"
"8.80","5.20"
"14.20","9.80"
"15.60","6.60"
"15.60","5.80"
"10.60","3.80"
"16.20","9.20"
"8.60","4.60"
"11.40","8.00"
"10.20","6.20"
"8.40","8.00"
"8.60","6.00"
"3.20","11.00"
"7.60","34.00"
"6.20","7.00"
"10.20","5.20"
"12.20","8.00"
"10.00","11.20"
